category,report_type,stock_symbol,year,month,value_type
OPM %,profit-loss,ADANIENT,2015,3,0.19
OPM %,profit-loss,ADANIENT,2016,3,0.05
OPM %,profit-loss,ADANIENT,2017,3,0.05
OPM %,profit-loss,ADANIENT,2018,3,0.06
OPM %,profit-loss,ADANIENT,2019,3,0.05
OPM %,profit-loss,ADANIENT,2020,3,0.05
OPM %,profit-loss,ADANIENT,2021,3,0.06
OPM %,profit-loss,ADANIENT,2022,3,0.05
OPM %,profit-loss,ADANIENT,2023,3,0.07
OPM %,profit-loss,ADANIENT,2024,3,0.12
Other Income_profit-loss,profit-loss,ADANIENT,2013,3,1775.0
Other Income_profit-loss,profit-loss,ADANIENT,2014,3,1157.0
Other Income_profit-loss,profit-loss,ADANIENT,2015,3,792.0
Other Income_profit-loss,profit-loss,ADANIENT,2016,3,1044.0
Other Income_profit-loss,profit-loss,ADANIENT,2017,3,749.0
Other Income_profit-loss,profit-loss,ADANIENT,2018,3,363.0
Other Income_profit-loss,profit-loss,ADANIENT,2019,3,504.0
Other Income_profit-loss,profit-loss,ADANIENT,2020,3,872.0
Other Income_profit-loss,profit-loss,ADANIENT,2021,3,494.0
Other Income_profit-loss,profit-loss,ADANIENT,2022,3,1012.0
Other Income_profit-loss,profit-loss,ADANIENT,2023,3,834.0
Other Income_profit-loss,profit-loss,ADANIENT,2024,3,1146.0
Interest,profit-loss,ADANIENT,2013,3,3492.0
Interest,profit-loss,ADANIENT,2014,3,5703.0
Interest,profit-loss,ADANIENT,2015,3,7056.0
Interest,profit-loss,ADANIENT,2016,3,1357.0
Interest,profit-loss,ADANIENT,2017,3,1257.0
Interest,profit-loss,ADANIENT,2018,3,1250.0
Interest,profit-loss,ADANIENT,2019,3,1625.0
Interest,profit-loss,ADANIENT,2020,3,1572.0
Interest,profit-loss,ADANIENT,2021,3,1377.0
Interest,profit-loss,ADANIENT,2022,3,2526.0
Interest,profit-loss,ADANIENT,2023,3,3969.0
Interest,profit-loss,ADANIENT,2024,3,4555.0
Depreciation,profit-loss,ADANIENT,2013,3,2298.0
Depreciation,profit-loss,ADANIENT,2014,3,3223.0
Depreciation,profit-loss,ADANIENT,2015,3,3522.0
Depreciation,profit-loss,ADANIENT,2016,3,314.0
Depreciation,profit-loss,ADANIENT,2017,3,315.0
Depreciation,profit-loss,ADANIENT,2018,3,664.0
Depreciation,profit-loss,ADANIENT,2019,3,390.0
Depreciation,profit-loss,ADANIENT,2020,3,472.0
Depreciation,profit-loss,ADANIENT,2021,3,537.0
Depreciation,profit-loss,ADANIENT,2022,3,1248.0
Depreciation,profit-loss,ADANIENT,2023,3,2436.0
Depreciation,profit-loss,ADANIENT,2024,3,3042.0
Profit before tax,profit-loss,ADANIENT,2013,3,2005.0
Profit before tax,profit-loss,ADANIENT,2014,3,1614.0
Profit before tax,profit-loss,ADANIENT,2015,3,2663.0
Profit before tax,profit-loss,ADANIENT,2016,3,1056.0
Profit before tax,profit-loss,ADANIENT,2017,3,1079.0
Profit before tax,profit-loss,ADANIENT,2018,3,487.0
Profit before tax,profit-loss,ADANIENT,2019,3,459.0
Profit before tax,profit-loss,ADANIENT,2020,3,1122.0
Profit before tax,profit-loss,ADANIENT,2021,3,1086.0
Profit before tax,profit-loss,ADANIENT,2022,3,952.0
Profit before tax,profit-loss,ADANIENT,2023,3,3247.0
Profit before tax,profit-loss,ADANIENT,2024,3,4926.0
Tax %,profit-loss,ADANIENT,2013,3,0.39
Tax %,profit-loss,ADANIENT,2014,3,-0.64
Tax %,profit-loss,ADANIENT,2015,3,0.14
Tax %,profit-loss,ADANIENT,2016,3,0.07
Tax %,profit-loss,ADANIENT,2017,3,0.25
Tax %,profit-loss,ADANIENT,2018,3,0.23
Tax %,profit-loss,ADANIENT,2019,3,0.32
Tax %,profit-loss,ADANIENT,2020,3,0.29
Tax %,profit-loss,ADANIENT,2021,3,0.31
Tax %,profit-loss,ADANIENT,2022,3,0.5
Tax %,profit-loss,ADANIENT,2023,3,0.32
Tax %,profit-loss,ADANIENT,2024,3,0.33
Net Profit_profit-loss,profit-loss,ADANIENT,2013,3,1218.0
Net Profit_profit-loss,profit-loss,ADANIENT,2014,3,2646.0
Net Profit_profit-loss,profit-loss,ADANIENT,2015,3,2298.0
Net Profit_profit-loss,profit-loss,ADANIENT,2016,3,1000.0
Net Profit_profit-loss,profit-loss,ADANIENT,2017,3,925.0
Net Profit_profit-loss,profit-loss,ADANIENT,2018,3,594.0
Net Profit_profit-loss,profit-loss,ADANIENT,2019,3,506.0
Net Profit_profit-loss,profit-loss,ADANIENT,2020,3,1040.0
Net Profit_profit-loss,profit-loss,ADANIENT,2021,3,1046.0
Net Profit_profit-loss,profit-loss,ADANIENT,2022,3,788.0
Net Profit_profit-loss,profit-loss,ADANIENT,2023,3,2422.0
Net Profit_profit-loss,profit-loss,ADANIENT,2024,3,3335.0
EPS in Rs,profit-loss,ADANIENT,2013,3,14.67
EPS in Rs,profit-loss,ADANIENT,2014,3,20.19
EPS in Rs,profit-loss,ADANIENT,2015,3,17.71
EPS in Rs,profit-loss,ADANIENT,2016,3,9.19
EPS in Rs,profit-loss,ADANIENT,2017,3,8.98
EPS in Rs,profit-loss,ADANIENT,2018,3,6.89
EPS in Rs,profit-loss,ADANIENT,2019,3,6.52
EPS in Rs,profit-loss,ADANIENT,2020,3,10.35
EPS in Rs,profit-loss,ADANIENT,2021,3,8.39
EPS in Rs,profit-loss,ADANIENT,2022,3,7.06
EPS in Rs,profit-loss,ADANIENT,2023,3,21.61
EPS in Rs,profit-loss,ADANIENT,2024,3,28.42
Dividend Payout %,profit-loss,ADANIENT,2013,3,0.1
Dividend Payout %,profit-loss,ADANIENT,2014,3,0.07
Dividend Payout %,profit-loss,ADANIENT,2015,3,0.08
Dividend Payout %,profit-loss,ADANIENT,2016,3,0.04
Dividend Payout %,profit-loss,ADANIENT,2017,3,0.04
Dividend Payout %,profit-loss,ADANIENT,2018,3,0.06
Dividend Payout %,profit-loss,ADANIENT,2019,3,0.06
Dividend Payout %,profit-loss,ADANIENT,2020,3,0.1
Dividend Payout %,profit-loss,ADANIENT,2021,3,0.12
Dividend Payout %,profit-loss,ADANIENT,2022,3,0.14
Dividend Payout %,profit-loss,ADANIENT,2023,3,0.06
Dividend Payout %,profit-loss,ADANIENT,2024,3,0.05
Equity Capital,balance-sheet,ADANIENT,2013,3,110.0
Equity Capital,balance-sheet,ADANIENT,2014,3,110.0
Equity Capital,balance-sheet,ADANIENT,2015,3,110.0
Equity Capital,balance-sheet,ADANIENT,2016,3,110.0
Equity Capital,balance-sheet,ADANIENT,2017,3,110.0
Equity Capital,balance-sheet,ADANIENT,2018,3,110.0
Equity Capital,balance-sheet,ADANIENT,2019,3,110.0
Equity Capital,balance-sheet,ADANIENT,2020,3,110.0
Equity Capital,balance-sheet,ADANIENT,2021,3,110.0
Equity Capital,balance-sheet,ADANIENT,2022,3,110.0
Equity Capital,balance-sheet,ADANIENT,2023,3,114.0
Equity Capital,balance-sheet,ADANIENT,2024,3,114.0
Reserves,balance-sheet,ADANIENT,2013,3,21286.0
Reserves,balance-sheet,ADANIENT,2014,3,23647.0
Reserves,balance-sheet,ADANIENT,2015,3,25618.0
Reserves,balance-sheet,ADANIENT,2016,3,13268.0
Reserves,balance-sheet,ADANIENT,2017,3,14026.0
Reserves,balance-sheet,ADANIENT,2018,3,14979.0
Reserves,balance-sheet,ADANIENT,2019,3,14646.0
Reserves,balance-sheet,ADANIENT,2020,3,16837.0
Reserves,balance-sheet,ADANIENT,2021,3,17049.0
Reserves,balance-sheet,ADANIENT,2022,3,22147.0
Reserves,balance-sheet,ADANIENT,2023,3,32937.0
Reserves,balance-sheet,ADANIENT,2024,3,38962.0
Borrowings_balance-sheet,balance-sheet,ADANIENT,2013,3,69332.0
Borrowings_balance-sheet,balance-sheet,ADANIENT,2014,3,71980.0
Borrowings_balance-sheet,balance-sheet,ADANIENT,2015,3,83571.0
Borrowings_balance-sheet,balance-sheet,ADANIENT,2016,3,19169.0
Borrowings_balance-sheet,balance-sheet,ADANIENT,2017,3,20846.0
Borrowings_balance-sheet,balance-sheet,ADANIENT,2018,3,17637.0
Borrowings_balance-sheet,balance-sheet,ADANIENT,2019,3,11243.0
Borrowings_balance-sheet,balance-sheet,ADANIENT,2020,3,12419.0
Borrowings_balance-sheet,balance-sheet,ADANIENT,2021,3,16227.0
Borrowings_balance-sheet,balance-sheet,ADANIENT,2022,3,41604.0
Borrowings_balance-sheet,balance-sheet,ADANIENT,2023,3,53200.0
Borrowings_balance-sheet,balance-sheet,ADANIENT,2024,3,65310.0
Other Liabilities_balance-sheet,balance-sheet,ADANIENT,2013,3,21143.0
Other Liabilities_balance-sheet,balance-sheet,ADANIENT,2014,3,22365.0
Other Liabilities_balance-sheet,balance-sheet,ADANIENT,2015,3,21420.0
Other Liabilities_balance-sheet,balance-sheet,ADANIENT,2016,3,9132.0
Other Liabilities_balance-sheet,balance-sheet,ADANIENT,2017,3,12630.0
Other Liabilities_balance-sheet,balance-sheet,ADANIENT,2018,3,23679.0
Other Liabilities_balance-sheet,balance-sheet,ADANIENT,2019,3,16537.0
Other Liabilities_balance-sheet,balance-sheet,ADANIENT,2020,3,17509.0
Other Liabilities_balance-sheet,balance-sheet,ADANIENT,2021,3,18231.0
Other Liabilities_balance-sheet,balance-sheet,ADANIENT,2022,3,37726.0
Other Liabilities_balance-sheet,balance-sheet,ADANIENT,2023,3,55027.0
Other Liabilities_balance-sheet,balance-sheet,ADANIENT,2024,3,56200.0
Total Liabilities,balance-sheet,ADANIENT,2013,3,111871.0
Total Liabilities,balance-sheet,ADANIENT,2014,3,118102.0
Total Liabilities,balance-sheet,ADANIENT,2015,3,130718.0
Total Liabilities,balance-sheet,ADANIENT,2016,3,41679.0
Total Liabilities,balance-sheet,ADANIENT,2017,3,47611.0
Total Liabilities,balance-sheet,ADANIENT,2018,3,56405.0
Total Liabilities,balance-sheet,ADANIENT,2019,3,42536.0
Total Liabilities,balance-sheet,ADANIENT,2020,3,46875.0
Total Liabilities,balance-sheet,ADANIENT,2021,3,51617.0
Total Liabilities,balance-sheet,ADANIENT,2022,3,101586.0
Total Liabilities,balance-sheet,ADANIENT,2023,3,141278.0
Total Liabilities,balance-sheet,ADANIENT,2024,3,160586.0
Fixed Assets_balance-sheet,balance-sheet,ADANIENT,2013,3,48770.0
Fixed Assets_balance-sheet,balance-sheet,ADANIENT,2014,3,70579.0
Fixed Assets_balance-sheet,balance-sheet,ADANIENT,2015,3,83834.0
Fixed Assets_balance-sheet,balance-sheet,ADANIENT,2016,3,10473.0
Fixed Assets_balance-sheet,balance-sheet,ADANIENT,2017,3,13668.0
Fixed Assets_balance-sheet,balance-sheet,ADANIENT,2018,3,10555.0
Fixed Assets_balance-sheet,balance-sheet,ADANIENT,2019,3,9020.0
Fixed Assets_balance-sheet,balance-sheet,ADANIENT,2020,3,10476.0
Fixed Assets_balance-sheet,balance-sheet,ADANIENT,2021,3,10838.0
Fixed Assets_balance-sheet,balance-sheet,ADANIENT,2022,3,30123.0
Fixed Assets_balance-sheet,balance-sheet,ADANIENT,2023,3,56881.0
Fixed Assets_balance-sheet,balance-sheet,ADANIENT,2024,3,65978.0
CWIP,balance-sheet,ADANIENT,2013,3,29248.0
CWIP,balance-sheet,ADANIENT,2014,3,13574.0
CWIP,balance-sheet,ADANIENT,2015,3,6733.0
CWIP,balance-sheet,ADANIENT,2016,3,7705.0
CWIP,balance-sheet,ADANIENT,2017,3,7731.0
CWIP,balance-sheet,ADANIENT,2018,3,5526.0
CWIP,balance-sheet,ADANIENT,2019,3,5765.0
CWIP,balance-sheet,ADANIENT,2020,3,7347.0
CWIP,balance-sheet,ADANIENT,2021,3,8825.0
CWIP,balance-sheet,ADANIENT,2022,3,23544.0
CWIP,balance-sheet,ADANIENT,2023,3,24025.0
CWIP,balance-sheet,ADANIENT,2024,3,35180.0
Investments,balance-sheet,ADANIENT,2013,3,323.0
Investments,balance-sheet,ADANIENT,2014,3,288.0
Investments,balance-sheet,ADANIENT,2015,3,744.0
Investments,balance-sheet,ADANIENT,2016,3,805.0
Investments,balance-sheet,ADANIENT,2017,3,1042.0
Investments,balance-sheet,ADANIENT,2018,3,1461.0
Investments,balance-sheet,ADANIENT,2019,3,1511.0
Investments,balance-sheet,ADANIENT,2020,3,1952.0
Investments,balance-sheet,ADANIENT,2021,3,5503.0
Investments,balance-sheet,ADANIENT,2022,3,4292.0
Investments,balance-sheet,ADANIENT,2023,3,6310.0
Investments,balance-sheet,ADANIENT,2024,3,8701.0
Other Assets_balance-sheet,balance-sheet,ADANIENT,2013,3,33529.0
Other Assets_balance-sheet,balance-sheet,ADANIENT,2014,3,33661.0
Other Assets_balance-sheet,balance-sheet,ADANIENT,2015,3,39407.0
Other Assets_balance-sheet,balance-sheet,ADANIENT,2016,3,22696.0
Other Assets_balance-sheet,balance-sheet,ADANIENT,2017,3,25170.0
Other Assets_balance-sheet,balance-sheet,ADANIENT,2018,3,38864.0
Other Assets_balance-sheet,balance-sheet,ADANIENT,2019,3,26240.0
Other Assets_balance-sheet,balance-sheet,ADANIENT,2020,3,27099.0
Other Assets_balance-sheet,balance-sheet,ADANIENT,2021,3,26451.0
Other Assets_balance-sheet,balance-sheet,ADANIENT,2022,3,43627.0
Other Assets_balance-sheet,balance-sheet,ADANIENT,2023,3,54062.0
Other Assets_balance-sheet,balance-sheet,ADANIENT,2024,3,50728.0
Total Assets,balance-sheet,ADANIENT,2013,3,111871.0
Total Assets,balance-sheet,ADANIENT,2014,3,118102.0
Total Assets,balance-sheet,ADANIENT,2015,3,130718.0
Total Assets,balance-sheet,ADANIENT,2016,3,41679.0
Total Assets,balance-sheet,ADANIENT,2017,3,47611.0
Total Assets,balance-sheet,ADANIENT,2018,3,56405.0
Total Assets,balance-sheet,ADANIENT,2019,3,42536.0
Total Assets,balance-sheet,ADANIENT,2020,3,46875.0
Total Assets,balance-sheet,ADANIENT,2021,3,51617.0
Total Assets,balance-sheet,ADANIENT,2022,3,101586.0
Total Assets,balance-sheet,ADANIENT,2023,3,141278.0
Total Assets,balance-sheet,ADANIENT,2024,3,160586.0
Cash from Operating Activity_cash-flow,cash-flow,ADANIENT,2013,3,7666.0
Cash from Operating Activity_cash-flow,cash-flow,ADANIENT,2014,3,8228.0
Cash from Operating Activity_cash-flow,cash-flow,ADANIENT,2015,3,8532.0
Cash from Operating Activity_cash-flow,cash-flow,ADANIENT,2016,3,5112.0
Cash from Operating Activity_cash-flow,cash-flow,ADANIENT,2017,3,774.0
Cash from Operating Activity_cash-flow,cash-flow,ADANIENT,2018,3,2942.0
Cash from Operating Activity_cash-flow,cash-flow,ADANIENT,2019,3,3236.0
Cash from Operating Activity_cash-flow,cash-flow,ADANIENT,2020,3,2454.0
Cash from Operating Activity_cash-flow,cash-flow,ADANIENT,2021,3,4043.0
Cash from Operating Activity_cash-flow,cash-flow,ADANIENT,2022,3,1385.0
Cash from Operating Activity_cash-flow,cash-flow,ADANIENT,2023,3,17626.0
Cash from Operating Activity_cash-flow,cash-flow,ADANIENT,2024,3,10312.0
Cash from Investing Activity_cash-flow,cash-flow,ADANIENT,2013,3,-14790.0
Cash from Investing Activity_cash-flow,cash-flow,ADANIENT,2014,3,-8007.0
Cash from Investing Activity_cash-flow,cash-flow,ADANIENT,2015,3,-11465.0
Cash from Investing Activity_cash-flow,cash-flow,ADANIENT,2016,3,-1825.0
Cash from Investing Activity_cash-flow,cash-flow,ADANIENT,2017,3,-1460.0
Cash from Investing Activity_cash-flow,cash-flow,ADANIENT,2018,3,-7649.0
Cash from Investing Activity_cash-flow,cash-flow,ADANIENT,2019,3,2487.0
Cash from Investing Activity_cash-flow,cash-flow,ADANIENT,2020,3,-1082.0
Cash from Investing Activity_cash-flow,cash-flow,ADANIENT,2021,3,-8611.0
Cash from Investing Activity_cash-flow,cash-flow,ADANIENT,2022,3,-17041.0
Cash from Investing Activity_cash-flow,cash-flow,ADANIENT,2023,3,-15459.0
Cash from Investing Activity_cash-flow,cash-flow,ADANIENT,2024,3,-18767.0
Cash from Financing Activity_cash-flow,cash-flow,ADANIENT,2013,3,7199.0
Cash from Financing Activity_cash-flow,cash-flow,ADANIENT,2014,3,-1109.0
Cash from Financing Activity_cash-flow,cash-flow,ADANIENT,2015,3,3445.0
Cash from Financing Activity_cash-flow,cash-flow,ADANIENT,2016,3,-3448.0
Cash from Financing Activity_cash-flow,cash-flow,ADANIENT,2017,3,716.0
Cash from Financing Activity_cash-flow,cash-flow,ADANIENT,2018,3,5120.0
Cash from Financing Activity_cash-flow,cash-flow,ADANIENT,2019,3,-6158.0
Cash from Financing Activity_cash-flow,cash-flow,ADANIENT,2020,3,-221.0
Cash from Financing Activity_cash-flow,cash-flow,ADANIENT,2021,3,3109.0
Cash from Financing Activity_cash-flow,cash-flow,ADANIENT,2022,3,15901.0
Cash from Financing Activity_cash-flow,cash-flow,ADANIENT,2023,3,-1198.0
Cash from Financing Activity_cash-flow,cash-flow,ADANIENT,2024,3,8879.0
Net Cash Flow,cash-flow,ADANIENT,2013,3,75.0
Net Cash Flow,cash-flow,ADANIENT,2014,3,-888.0
Net Cash Flow,cash-flow,ADANIENT,2015,3,512.0
Net Cash Flow,cash-flow,ADANIENT,2016,3,-161.0
Net Cash Flow,cash-flow,ADANIENT,2017,3,30.0
Net Cash Flow,cash-flow,ADANIENT,2018,3,413.0
Net Cash Flow,cash-flow,ADANIENT,2019,3,-436.0
Net Cash Flow,cash-flow,ADANIENT,2020,3,1151.0
Net Cash Flow,cash-flow,ADANIENT,2021,3,-1459.0
Net Cash Flow,cash-flow,ADANIENT,2022,3,246.0
Net Cash Flow,cash-flow,ADANIENT,2023,3,970.0
Net Cash Flow,cash-flow,ADANIENT,2024,3,424.0
Sales_quarters,quarters,ADANIENT,2021,6,12579.0
Sales_quarters,quarters,ADANIENT,2021,9,13218.0
Sales_quarters,quarters,ADANIENT,2021,12,18758.0
Sales_quarters,quarters,ADANIENT,2022,3,24866.0
Sales_quarters,quarters,ADANIENT,2022,6,40844.0
Sales_quarters,quarters,ADANIENT,2022,9,38175.0
Sales_quarters,quarters,ADANIENT,2022,12,26612.0
Sales_quarters,quarters,ADANIENT,2023,3,28944.0
Sales_quarters,quarters,ADANIENT,2023,6,22644.0
Sales_quarters,quarters,ADANIENT,2023,9,22517.0
Sales_quarters,quarters,ADANIENT,2023,12,25050.0
Sales_quarters,quarters,ADANIENT,2024,3,29180.0
Sales_quarters,quarters,ADANIENT,2024,6,25472.0
Expenses_quarters,quarters,ADANIENT,2021,6,11782.0
Expenses_quarters,quarters,ADANIENT,2021,9,12335.0
Expenses_quarters,quarters,ADANIENT,2021,12,17986.0
Expenses_quarters,quarters,ADANIENT,2022,3,23603.0
Expenses_quarters,quarters,ADANIENT,2022,6,39102.0
Expenses_quarters,quarters,ADANIENT,2022,9,36306.0
Expenses_quarters,quarters,ADANIENT,2022,12,24983.0
Expenses_quarters,quarters,ADANIENT,2023,3,25337.0
Expenses_quarters,quarters,ADANIENT,2023,6,20119.0
Expenses_quarters,quarters,ADANIENT,2023,9,20087.0
Expenses_quarters,quarters,ADANIENT,2023,12,21824.0
Expenses_quarters,quarters,ADANIENT,2024,3,25985.0
Expenses_quarters,quarters,ADANIENT,2024,6,21767.0
Operating Profit,quarters,ADANIENT,2021,6,796.0
Operating Profit,quarters,ADANIENT,2021,9,883.0
Operating Profit,quarters,ADANIENT,2021,12,772.0
Operating Profit,quarters,ADANIENT,2022,3,1262.0
Operating Profit,quarters,ADANIENT,2022,6,1742.0
Operating Profit,quarters,ADANIENT,2022,9,1869.0
Operating Profit,quarters,ADANIENT,2022,12,1629.0
Operating Profit,quarters,ADANIENT,2023,3,3607.0
Operating Profit,quarters,ADANIENT,2023,6,2525.0
Operating Profit,quarters,ADANIENT,2023,9,2430.0
Operating Profit,quarters,ADANIENT,2023,12,3226.0
Operating Profit,quarters,ADANIENT,2024,3,3195.0
Operating Profit,quarters,ADANIENT,2024,6,3706.0
OPM %,quarters,ADANIENT,2021,6,0.06
OPM %,quarters,ADANIENT,2021,9,0.07
OPM %,quarters,ADANIENT,2021,12,0.04
OPM %,quarters,ADANIENT,2022,3,0.05
OPM %,quarters,ADANIENT,2022,6,0.04
OPM %,quarters,ADANIENT,2022,9,0.05
OPM %,quarters,ADANIENT,2022,12,0.06
OPM %,quarters,ADANIENT,2023,3,0.12
OPM %,quarters,ADANIENT,2023,6,0.11
OPM %,quarters,ADANIENT,2023,9,0.11
OPM %,quarters,ADANIENT,2023,12,0.13
OPM %,quarters,ADANIENT,2024,3,0.11
OPM %,quarters,ADANIENT,2024,6,0.15
Other Income_quarters,quarters,ADANIENT,2021,6,152.0
Other Income_quarters,quarters,ADANIENT,2021,9,379.0
Other Income_quarters,quarters,ADANIENT,2021,12,206.0
Other Income_quarters,quarters,ADANIENT,2022,3,276.0
Other Income_quarters,quarters,ADANIENT,2022,6,222.0
Other Income_quarters,quarters,ADANIENT,2022,9,266.0
Other Income_quarters,quarters,ADANIENT,2022,12,339.0
Other Income_quarters,quarters,ADANIENT,2023,3,-15.0
Other Income_quarters,quarters,ADANIENT,2023,6,370.0
Other Income_quarters,quarters,ADANIENT,2023,9,461.0
Other Income_quarters,quarters,ADANIENT,2023,12,491.0
Other Income_quarters,quarters,ADANIENT,2024,3,-176.0
Other Income_quarters,quarters,ADANIENT,2024,6,591.0
Interest,quarters,ADANIENT,2021,6,443.0
Interest,quarters,ADANIENT,2021,9,754.0
Interest,quarters,ADANIENT,2021,12,708.0
Interest,quarters,ADANIENT,2022,3,622.0
Interest,quarters,ADANIENT,2022,6,915.0
Interest,quarters,ADANIENT,2022,9,934.0
Interest,quarters,ADANIENT,2022,12,596.0
Interest,quarters,ADANIENT,2023,3,1525.0
Interest,quarters,ADANIENT,2023,6,1103.0
Interest,quarters,ADANIENT,2023,9,1343.0
Interest,quarters,ADANIENT,2023,12,597.0
Interest,quarters,ADANIENT,2024,3,1513.0
Interest,quarters,ADANIENT,2024,6,1130.0
Depreciation,quarters,ADANIENT,2021,6,126.0
Depreciation,quarters,ADANIENT,2021,9,320.0
Depreciation,quarters,ADANIENT,2021,12,354.0
Depreciation,quarters,ADANIENT,2022,3,449.0
Depreciation,quarters,ADANIENT,2022,6,417.0
Depreciation,quarters,ADANIENT,2022,9,531.0
Depreciation,quarters,ADANIENT,2022,12,592.0
Depreciation,quarters,ADANIENT,2023,3,895.0
Depreciation,quarters,ADANIENT,2023,6,714.0
Depreciation,quarters,ADANIENT,2023,9,757.0
Depreciation,quarters,ADANIENT,2023,12,760.0
Depreciation,quarters,ADANIENT,2024,3,811.0
Depreciation,quarters,ADANIENT,2024,6,934.0
Profit before tax,quarters,ADANIENT,2021,6,380.0
Profit before tax,quarters,ADANIENT,2021,9,189.0
Profit before tax,quarters,ADANIENT,2021,12,-84.0
Profit before tax,quarters,ADANIENT,2022,3,468.0
Profit before tax,quarters,ADANIENT,2022,6,632.0
Profit before tax,quarters,ADANIENT,2022,9,670.0
Profit before tax,quarters,ADANIENT,2022,12,780.0
Profit before tax,quarters,ADANIENT,2023,3,1172.0
Profit before tax,quarters,ADANIENT,2023,6,1079.0
Profit before tax,quarters,ADANIENT,2023,9,791.0
Profit before tax,quarters,ADANIENT,2023,12,2361.0
Profit before tax,quarters,ADANIENT,2024,3,696.0
Profit before tax,quarters,ADANIENT,2024,6,2232.0
Tax %,quarters,ADANIENT,2021,6,0.48
Tax %,quarters,ADANIENT,2021,9,0.35
Tax %,quarters,ADANIENT,2021,12,0.16
Tax %,quarters,ADANIENT,2022,3,0.46
Tax %,quarters,ADANIENT,2022,6,0.35
Tax %,quarters,ADANIENT,2022,9,0.35
Tax %,quarters,ADANIENT,2022,12,0.18
Tax %,quarters,ADANIENT,2023,3,0.38
Tax %,quarters,ADANIENT,2023,6,0.33
Tax %,quarters,ADANIENT,2023,9,0.5
Tax %,quarters,ADANIENT,2023,12,0.19
Tax %,quarters,ADANIENT,2024,3,0.62
Tax %,quarters,ADANIENT,2024,6,0.26
Net Profit_quarters,quarters,ADANIENT,2021,6,266.0
Net Profit_quarters,quarters,ADANIENT,2021,9,195.0
Net Profit_quarters,quarters,ADANIENT,2021,12,2.0
Net Profit_quarters,quarters,ADANIENT,2022,3,326.0
Net Profit_quarters,quarters,ADANIENT,2022,6,469.0
Net Profit_quarters,quarters,ADANIENT,2022,9,432.0
Net Profit_quarters,quarters,ADANIENT,2022,12,740.0
Net Profit_quarters,quarters,ADANIENT,2023,3,781.0
Net Profit_quarters,quarters,ADANIENT,2023,6,677.0
Net Profit_quarters,quarters,ADANIENT,2023,9,333.0
Net Profit_quarters,quarters,ADANIENT,2023,12,1973.0
Net Profit_quarters,quarters,ADANIENT,2024,3,352.0
Net Profit_quarters,quarters,ADANIENT,2024,6,1772.0
EPS in Rs,quarters,ADANIENT,2021,6,2.47
EPS in Rs,quarters,ADANIENT,2021,9,1.93
EPS in Rs,quarters,ADANIENT,2021,12,-0.11
EPS in Rs,quarters,ADANIENT,2022,3,2.77
EPS in Rs,quarters,ADANIENT,2022,6,4.12
EPS in Rs,quarters,ADANIENT,2022,9,4.04
EPS in Rs,quarters,ADANIENT,2022,12,7.19
EPS in Rs,quarters,ADANIENT,2023,3,6.34
